Ticker,Interval,Date_Predicted,Target_Date,Horizon,Predicted_Price,Direction,Confidence,Actual_Price,Is_Correct
AAPL,1h,2025-12-17 20:30,2025-12-17 21:30,1h,278.27,UP ▲,51.0%,,
AAPL,1h,2025-12-17 20:30,2025-12-18 01:30,5h,277.8,UP ▲,55.3%,,
AAPL,1h,2025-12-17 20:30,2025-12-18 17:30,21h,275.77,UP ▲,43.4%,,
AAPL,1d,2025-12-17 00:00,2025-12-18 00:00,1d,241.4,DOWN ▼,23.8%,,
AAPL,1d,2025-12-17 00:00,2025-12-24 00:00,5d,241.68,DOWN ▼,22.6%,,
AAPL,1d,2025-12-17 00:00,2026-01-16 00:00,21d,242.65,DOWN ▼,40.5%,,
AAPL,1d,2025-12-17 00:00,2025-12-18 00:00,1d,241.4,DOWN ▼,23.8%,,
AAPL,1d,2025-12-17 00:00,2025-12-24 00:00,5d,241.68,DOWN ▼,22.6%,,
AAPL,1d,2025-12-17 00:00,2026-01-16 00:00,21d,242.65,DOWN ▼,40.5%,,
AAPL,1d,2026-01-09 00:00,2026-01-10 00:00,1d,230.13,DOWN ▼,23.0%,,
AAPL,1d,2026-01-09 00:00,2026-01-16 00:00,5d,230.41,DOWN ▼,24.9%,,
AAPL,1d,2026-01-09 00:00,2026-02-08 00:00,21d,231.51,DOWN ▼,41.1%,,
AAPL,1h,2026-01-09 18:30,2026-01-09 19:30,1h,262.56,UP ▲,53.5%,,
AAPL,1h,2026-01-09 18:30,2026-01-09 23:30,5h,261.26,UP ▲,38.1%,,
AAPL,1h,2026-01-09 18:30,2026-01-10 15:30,21h,255.76,DOWN ▼,84.8%,,
